N601DR	167	12	19.78333333	12	23.93333333	127.62
JETLNK 2297	170	14.5	9.883333333	14.5	21.55	126.75
FLG 3690	174	12.5	19.3	12.5	29.15	126.87
EGF 4001	187	11	26.65	11.5	4.816666667	133.2
ASH 7196	190	13.5	29.36666667	14	6.9	133.2
N6561C	190	12.5	24.58333333	12.5	25.6	127.55
N662JN	190	13.5	19.28333333	13.5	25.06666667	125.97
UAL 1299	193	14	29.96666667	14.5	15.5	126.87
N54DC	200	11	27.83333333	11.5	5.183333333	133.2
N983JC	200	14	16.28333333	14	22.76666667	125.1
NWA 7347	200	14.5	6	14.5	15	125.1
NWA 2581	209	13	26.83333333	13	29.16666667	125.97
DNJ 160	210	11.5	3.9	11.5	5.883333333	127.62
EGF 4317	210	12	9.3	12	22.41666667	133.2
NN801J	210	13.5	14.43333333	13.5	20.3	127.55
SKW 21P	210	14.5	25.68333333	14.5	29.11666667	133.2
N787JC	218	12	21.75	12.5	9.383333333	126.27
AAL 305	220	14	11.05	14	20.36666667	133.2
COA 1157	220	14	15.56666667	14	24.56666667	133.2
CPZ 5643	220	13	5.233333333	13	13.85	133.2
EGF 3873	220	14	24.41666667	14	30.78333333	133.2
EGF 4264	220	13	26.71666667	13.5	3.716666667	133.2
FLG 3845	220	14.5	10.08333333	14.5	21.7	120.35
FLG 3851	220	14.5	23.68333333	14.5	30.31666667	120.35
GJS 7463	220	13	27.01666667	13	29.3	125.97
NWA 2311	220	14.5	5.033333333	14.5	14.3	133.2
NWA 2457	220	14.5	20.33333333	14.5	26.85	120.35
SKW 5955	220	13.5	24.88333333	14	2.766666667	133.2
TCF 7607	220	14.5	21.2	14.5	29.26666667	133.2
UAL 327	220	14	9.933333333	14	17.83333333	133.2
UAL 365	220	13	20.88333333	13	29.4	133.2
UAL 531	220	14	14.88333333	14	22.65	133.2
UAL 533	220	14.5	14.71666667	14.5	24.4	133.2
CHQ 1322	223	13.5	11.43333333	13.5	17.6	126.75
JBU 921	230	14	6.75	14	17.16666667	133.2
N159AC	230	12.5	19.53333333	12.5	20.6	126.87
N190MC	230	12	18.23333333	12.5	4.566666667	126.87
ASH 7163	235	11.5	2.283333333	11.5	10.8	133.2
NWA 2441	237	12	15.66666667	12.5	2.683333333	121.37
N617N5	240	13	27.88333333	13.5	8.916666667	133.2
AAL 1527	240	13.5	19.53333333	13.5	30.46666667	133.2
AAL 1641	240	12.5	26.71666667	13	3.283333333	133.2
AAL 301	240	13	2.683333333	13	12.61666667	133.2
AAL 303	240	13	10.01666667	13	20.38333333	133.2
AAL 851	240	13	1.883333333	13	11.78333333	133.2
ACA 501	240	13	29.58333333	13.5	10.23333333	133.2
ASH 7132	240	13.5	22.03333333	14	2.05	133.2
ASH 7144	240	13	27.36666667	13.5	7.866666667	133.2
CHQ 1385	240	12	10.61666667	12	17.78333333	125.1
COA 1111	240	13	27.7	13.5	7.1	133.2
EGF 3816	240	13.5	9.5	13.5	17.45	133.2
EGF 3928	240	13	17.83333333	13.5	2.1	133.2
EGF 3943	240	13	13.58333333	13	21.81666667	133.2
EGF 4223	240	13	8.833333333	13	17.15	133.2
EGF 4389	240	13.5	29.2	14	9.666666667	133.2
GJS 7437	240	12.5	23.41666667	12.5	31.4	133.2
